"name","url","country","region","divisions","keywords"
"Canadian Red Cross Alberta","http://www.redcross.ca/in-your-community/alberta","canada","alberta","EM, Practitioner, health, ngo , humanitarian","emergency, management, disaster, response, recovery, earthquake, wildfire, chemical spill, flood, legislation, act"
"Canadian Red Cross British Columbia","http://www.redcross.ca/in-your-community/british-columbia-and-yukon","canada","british columbia","EM, Practitioner, health, ngo , humanitarian","response, recovery, emergency, business continuity,"
"Canadian Red Cross Saskatchewan","http://www.redcross.ca/in-your-community/saskatchewan","canada","saskatchewan","EM, practitioner, health, ngo , humanitarian","emergency, health, response, ambulance, legislation,"
"Canadian Security Intelligence Service","https://www.csis.gc.ca/index-en.php","canada","all regions","civil protection, business continuity","Security, Intelligence, civil, protection, business, continuity"
"canadian tri-services emergency management commitee","https://www.cacp.ca/canadian-tri-services-emergency-management-committee.html","canada","all regions","EM, practitioner, civil protection, health","emergency management, response, police, chielfs, hazard"
"Canterbury Earthquake Recovery Authority","http://cera.govt.nz/","new zealand","all regions","EM, practitioner, health, science research Academia, cyber , civil security, ngo , humanitarian","emergency, earthquake, response, recovery,"
"Canutec","https://www.tc.gc.ca/eng/canutec/menu.htm","canada","all regions","EM, practitioner, health, science research Academia, business continuity","tranportation, dangerous, goods, emergency, transport"
"Cape Breton University","http://www.cbu.ca/academic-programs/program/school-of-professional-studies/emergency-management/","canada","nova scotia","online, Emergency, management, industry, certificate, hands-on, practicum, prevent, mitigate, prepare, respond, recover, natural, technological, human, incidents",""
"Capella University","http://www.capella.edu/online-degrees/masters-emergency-management/","united states","minnesota","leadership, coordinate, agencies, crisis, natural, man-made, disasters, human, reactions, critical incident, tress, management, risk assessment, evaluation, analysis",""
"Carroll County Emergency Management Agency","http://www.carrollcountyga.com/150/Emergency-Management-Agency","united states","georgia","EM, Practitioner , Response, Civil , Cyber Security",""
"Carteret County Emergency Services","http://www.carteretcountync.gov/524/Emergency-Management","united states","north carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"Catawba County Emergency Management","http://www.carteretcountync.gov/524/Emergency-Management","united states","north carolina","EM, Practitioner , Response, Civil , Cyber Security",""
"CBRN resource links","http://www.phac-aspc.gc.ca/cepr-cmiu/ophs-bssp/ctchin8-eng.php","canada","all regions","EM, practitioner, health, science research Academia, business continuity, civil protecton","emergency, chemical, biological, radiological, nuclear, explosive, CBRNE, defensive, resource, links"
"Center for Acute Disease Epidemiology","http://www.idph.state.ia.us/Cade/Default.aspx","united states","iowa","Health, Science Research , Academia",""
"Center for Shared Solutions","http://www.michigan.gov/cgi","united states","michigan","Science Research , Academia",""
"Center for Watersheds and Environmental Sustainability","http://www.dri.edu/cwes","united states","nevada","EM, Practitioner , Response, Science , Research , Academia",""
